# X,Y,Z,HeatFlux
768.3474527995,219.7594960531,-1575.3979899089,0.0000000000
769.3467203776,216.8157094320,-1575.3979899089,0.0000000000
768.0564168294,218.0192057292,-1575.7268880208,0.0000000000
771.3875325521,214.6051940918,-1574.9166666667,0.0000000000
769.8061930339,214.0684051514,-1575.5744628906,0.0000000000
769.0556844076,215.0754241943,-1575.7268880208,0.0000000000
768.1143188477,212.8859761556,-1576.3552652995,0.0000000000
766.1840616862,215.7421315511,-1576.7136637370,0.0000000000
767.4743652344,214.5386352539,-1576.3847249349,0.0000000000
762.0918782552,211.6627451579,-1578.7565917969,0.0000000000
770.2198282878,222.0365702311,-1574.4112955729,0.0000000000
772.0921630859,224.3136494954,-1573.4246012370,0.0000000000
773.0914510091,221.3698628743,-1573.4246012370,0.0000000000
771.8011474609,222.5733591715,-1573.7534993490,0.0000000000
773.9645182292,226.5907236735,-1572.4378255208,0.0000000000
775.8368937174,228.8677978516,-1571.4510904948,0.0000000000
776.8361612956,225.9240163167,-1571.4510904948,0.0000000000
775.5458577474,227.1275126139,-1571.7799886068,0.0000000000
775.9630940755,220.7031555176,-1572.4378255208,0.0000000000
777.8354288737,222.9802296956,-1571.4510904948,0.0000000000
778.8347167969,220.0364481608,-1571.4510904948,0.0000000000
777.5444132487,221.2399444580,-1571.7799886068,0.0000000000
776.5451253255,224.1837259928,-1571.7799886068,0.0000000000
